Video_Code,Set,Species,Number,Mom,Neighbour,Seed_Type,Seed_Number,Seed_Mass_mg,Plant_ID,Velocity_Vals_m_sec,Data_Index
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.691249018,41
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.670020761,42
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.64289304,43
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.738877275,44
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.490414164,45
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,0.33498972,46
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,47
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,48
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,49
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,50
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,51
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,52
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,53
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,54
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,55
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,56
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,57
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,58
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,59
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,60
Acal1m1n3r1,A,cal,1,1,3,r,1,0.028,Acal1m1n3,NA,61
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.863257689,1
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.892235017,2
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.891931682,3
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.91404955,4
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.861100235,5
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.847486394,6
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.899757841,7
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.86008083,8
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.803365869,9
Acal1m1n3r2,A,cal,1,1,3,r,2,0.049,Acal1m1n3,0.956573896,10
