Full ID,Species,SppID,Hub,Transect,Mom,Wind_speed_1m,Wind_speed_10cm,Time,Day,prop_speed
DglaT1M1,L. glaberrima,gla,D,1,1,4.65,2.71,07:45:00,14,0.5827956989247312
DglaT1M1,L. glaberrima,gla,D,1,1,5.53,2.54,07:45:00,14,0.4593128390596745
DglaT1M1,L. glaberrima,gla,D,1,1,7.94,3.42,07:45:00,14,0.43073047858942065
DglaT1M1,L. glaberrima,gla,D,1,1,5.87,3.77,07:45:00,14,0.6422487223168654
DglaT1M2,L. glaberrima,gla,D,1,2,8.11,2.18,07:48:00,14,0.26880394574599265
DglaT1M2,L. glaberrima,gla,D,1,2,6.04,1.86,07:48:00,14,0.3079470198675497
DglaT1M2,L. glaberrima,gla,D,1,2,5.18,2.18,07:48:00,14,0.4208494208494209
DglaT1M2,L. glaberrima,gla,D,1,2,7.25,2,07:48:00,14,0.27586206896551724
DglaT1M2,L. glaberrima,gla,D,1,2,5.53,1.86,07:48:00,14,0.33634719710669075
BcalT1M2,L. californica,cal,B,1,2,8.8,2,08:11:00,14,0.22727272727272727
BcalT1M2,L. californica,cal,B,1,2,4.3,1.86,08:11:00,14,0.43255813953488376
BcalT1M2,L. californica,cal,B,1,2,5.53,2,08:11:00,14,0.3616636528028933
BcalT1M2,L. californica,cal,B,1,2,5.18,1.86,08:11:00,14,0.35907335907335913
BcalT1M2,L. californica,cal,B,1,2,7.42,2.18,08:11:00,14,0.29380053908355797
BcalT1M1,L. californica,cal,B,1,1,3.94,1.43,08:14:00,14,0.3629441624365482
BcalT1M1,L. californica,cal,B,1,1,8.11,2.36,08:14:00,14,0.2909987669543773
BcalT1M1,L. californica,cal,B,1,1,4.12,1.15,08:14:00,14,0.279126213592233
BcalT1M1,L. californica,cal,B,1,1,3.77,1,08:14:00,14,0.26525198938992045
BcalT1M1,L. californica,cal,B,1,1,6.04,1.57,08:14:00,14,0.2599337748344371
BcalT2M1,L. californica,cal,B,2,1,4.12,1,08:17:00,14,0.24271844660194175
BcalT2M1,L. californica,cal,B,2,1,4.3,0.8,08:17:00,14,0.186046511627907
BcalT2M1,L. californica,cal,B,2,1,6.22,1.72,08:17:00,14,0.2765273311897106
BcalT2M1,L. californica,cal,B,2,1,3.42,1.15,08:17:00,14,0.3362573099415204
BcalT2M1,L. californica,cal,B,2,1,4.82,1.15,08:17:00,14,0.23858921161825722
JglaT2M1,L. glaberrima,gla,J,2,1,5,1,08:49:00,14,0.2
JglaT2M1,L. glaberrima,gla,J,2,1,5.7,2.18,08:49:00,14,0.3824561403508772
JglaT2M1,L. glaberrima,gla,J,2,1,6.39,1.86,08:49:00,14,0.2910798122065728
